BFrequency,IConcreteness,IFrequency,ILetters,IPhonNeighbour,IPhonemes,ISyllables,Initial,POS,TConcreteness,TFrequency,TLetters,TPOS,TPhonNeighbour,TPhonemes,TSyllables,Trailing,acc,accuracy,category,correct,correct_response,response_time,response_time_keyboard_response
-,3.44,21026,4,32,3,1,turn,Verb,-,-,6,-,-,4,-,klighb,94.25287356,94.25287356,word,1,[nonword_response],417,417
-,2.31,3831,7,3,6,2,shortly,Adverb,-,-,7,-,-,5,-,shrarld,94.28571429,94.28571429,word,1,[nonword_response],467,467
-,1.42,19810,3,5,3,2,ago,Adverb,-,-,8,-,-,5,-,ghrorped,94.31818182,94.31818182,word,1,[nonword_response],418,418
-,1.55,2560346,2,22,2,1,to,To,-,-,6,-,-,5,-,spibes,94.35028249,94.35028249,word,1,[nonword_response],421,421
-,2.66,8412,6,21,4,1,shares,Noun,-,-,7,-,-,4,-,tharlde,94.38202247,94.38202247,word,1,[nonword_response],434,434
34,1.55,513078,2,39,2,1,by,Preposition,4.26,15298,5,Noun,25,4,1,field,94.41340782,94.41340782,word,1,[word_response],392,392
206,2.66,8412,6,21,4,1,shares,Noun,1.43,6187927,3,Article,16,2,1,the,94.44444444,94.44444444,word,1,[word_response],377,377
3450,2.2,327968,5,19,3,1,there,Ex,1.77,445396,3,Verb,41,3,1,had,94.47513812,94.47513812,word,1,[word_response],371,371
655,2.14,463240,4,11,3,1,this,Determiner,3.08,358792,2,Pronoun,42,2,1,we,94.50549451,94.50549451,word,1,[word_response],360,360
206,4.67,12147,4,32,3,1,hall,Noun,1.59,998867,2,Verb,30,2,1,is,94.53551913,94.53551913,word,1,[word_response],375,375
-,2.04,456072,3,43,3,1,but,Conjunction,-,-,8,-,-,7,-,cwimpsed,94.56521739,94.56521739,word,1,[nonword_response],427,427
-,2.71,7560,4,41,3,1,pass,Verb,-,-,7,-,-,5,-,ghrewld,94.59459459,94.59459459,word,1,[nonword_response],631,631
1210,2.31,3831,7,3,6,2,shortly,Adverb,2.12,117138,5,Preposition,6,4,2,after,94.62365591,94.62365591,word,1,[word_response],331,331
